BuyerId,VATPeriod,VATDate,BuyerSector,BuyerSizeCategory,TotalObligation,ActualPayment,UnderPayment,TransactionCount,ComplianceRate
203,2024 Q2,2024-06-30,Cafe,Large,9638.52,6983.17,2655.34,14,0.7245
203,2024 Q3,2024-09-30,Cafe,Large,9013.27,6530.2,2483.09,13,0.7245
203,2024 Q4,2024-12-31,Cafe,Large,8375.36,6067.99,2307.34,13,0.7245
203,2025 Q1,2025-03-31,Cafe,Large,8275.869999999999,5995.93,2279.96,13,0.7245
205,2024 Q2,2024-06-30,Cafe,Small,2000.13,1994.61,5.53,14,0.9972
205,2024 Q3,2024-09-30,Cafe,Small,1812.55,1807.55,5.0,13,0.9972
205,2024 Q4,2024-12-31,Cafe,Small,1599.85,1595.44,4.44,13,0.9972
205,2025 Q1,2025-03-31,Cafe,Small,1512.89,1508.72,4.19,13,0.9972
207,2024 Q2,2024-06-30,Cafe,Small,2363.33,2363.33,0.0,14,1.0
207,2024 Q3,2024-09-30,Cafe,Small,2249.12,2249.12,0.0,13,1.0
207,2024 Q4,2024-12-31,Cafe,Small,2089.3,2089.3,0.0,13,1.0
207,2025 Q1,2025-03-31,Cafe,Small,2083.58,2083.58,0.0,13,1.0
218,2024 Q2,2024-06-30,Cafe,Large,5405.53,5405.53,0.0,14,1.0
218,2024 Q3,2024-09-30,Cafe,Large,5233.72,5233.72,0.0,13,1.0
218,2024 Q4,2024-12-31,Cafe,Large,4971.09,4971.09,0.0,13,1.0
218,2025 Q1,2025-03-31,Cafe,Large,5091.74,5091.74,0.0,13,1.0
224,2024 Q2,2024-06-30,Cafe,Medium,1376.85,846.5899999999999,530.27,14,0.6149
224,2024 Q3,2024-09-30,Cafe,Medium,2787.22,1713.78,1073.4,13,0.6149
224,2024 Q4,2024-12-31,Cafe,Medium,3055.27,1878.61,1176.67,13,0.6149
224,2025 Q1,2025-03-31,Cafe,Medium,2806.44,1725.63,1080.83,13,0.6149
228,2024 Q2,2024-06-30,Cafe,Small,2157.73,1326.75,831.0,14,0.6149
228,2024 Q3,2024-09-30,Cafe,Small,2192.78,1348.29,844.49,13,0.6149
228,2024 Q4,2024-12-31,Cafe,Small,2165.19,1331.33,833.84,13,0.6149
228,2025 Q1,2025-03-31,Cafe,Small,2284.95,1404.99,879.99,13,0.6149
230,2024 Q2,2024-06-30,Cafe,Medium,2423.41,0.0,2423.41,14,0.0
230,2024 Q3,2024-09-30,Cafe,Medium,2461.11,0.0,2461.11,13,0.0
230,2024 Q4,2024-12-31,Cafe,Medium,2428.69,0.0,2428.69,13,0.0
230,2025 Q1,2025-03-31,Cafe,Medium,2561.7,0.0,2561.7,13,0.0
231,2024 Q2,2024-06-30,Cafe,Small,2309.7,2309.7,0.0,14,1.0
231,2024 Q3,2024-09-30,Cafe,Small,2420.38,2420.38,0.0,14,1.0
231,2024 Q4,2024-12-31,Cafe,Small,2169.75,2169.75,0.0,13,1.0
231,2025 Q1,2025-03-31,Cafe,Small,2267.67,2267.67,0.0,13,1.0
234,2024 Q2,2024-06-30,Cafe,Small,2146.27,1243.92,902.32,14,0.5796
234,2024 Q3,2024-09-30,Cafe,Small,2053.84,1190.36,863.46,13,0.5796
234,2024 Q4,2024-12-31,Cafe,Small,1928.08,1117.49,810.61,13,0.5796
234,2025 Q1,2025-03-31,Cafe,Small,1954.81,1132.96,821.84,13,0.5796
235,2024 Q2,2024-06-30,Cafe,Large,10191.77,10191.77,0.0,14,1.0
235,2024 Q3,2024-09-30,Cafe,Large,9736.02,9736.02,0.0,13,1.0
235,2024 Q4,2024-12-31,Cafe,Large,9131.95,9131.95,0.0,13,1.0
235,2025 Q1,2025-03-31,Cafe,Large,9265.61,9265.61,0.0,13,1.0
237,2024 Q2,2024-06-30,Cafe,Large,5345.25,5295.71,49.55,14,0.9907
237,2024 Q3,2024-09-30,Cafe,Large,5390.54,5340.56,49.97,13,0.9907
237,2024 Q4,2024-12-31,Cafe,Large,5287.17,5238.18,49.0,13,0.9907
237,2025 Q1,2025-03-31,Cafe,Large,5547.15,5495.73,51.4,13,0.9907
244,2024 Q2,2024-06-30,Cafe,Medium,2633.03,1527.54,1105.51,14,0.5801
244,2024 Q3,2024-09-30,Cafe,Medium,2567.54,1489.52,1077.99,13,0.5801
244,2024 Q4,2024-12-31,Cafe,Medium,2460.57,1427.46,1033.08,13,0.5801
244,2025 Q1,2025-03-31,Cafe,Medium,2546.31,1477.22,1069.09,13,0.5801
246,2024 Q2,2024-06-30,Cafe,Medium,3766.19,3766.19,0.0,15,1.0
246,2024 Q3,2024-09-30,Cafe,Medium,3010.01,3010.01,0.0,13,1.0
246,2024 Q4,2024-12-31,Cafe,Medium,2664.83,2664.83,0.0,13,1.0
246,2025 Q1,2025-03-31,Cafe,Medium,2743.34,2743.34,0.0,13,1.0
252,2024 Q2,2024-06-30,Cafe,Medium,2607.11,2507.34,99.76,14,0.9617
252,2024 Q3,2024-09-30,Cafe,Medium,2527.4700000000003,2430.76,96.72,13,0.9617
252,2024 Q4,2024-12-31,Cafe,Medium,2390.58,2299.12,91.48,13,0.9617
252,2025 Q1,2025-03-31,Cafe,Medium,2425.9700000000003,2333.13,92.82,13,0.9617
256,2024 Q2,2024-06-30,Cafe,Medium,4015.76,1571.22,2444.55,14,0.3913
256,2024 Q3,2024-09-30,Cafe,Medium,3629.5,1420.1,2209.4,13,0.3913
256,2024 Q4,2024-12-31,Cafe,Medium,3194.01,1249.69,1944.32,13,0.3913
256,2025 Q1,2025-03-31,Cafe,Medium,3010.32,1177.84,1832.49,13,0.3913
257,2024 Q2,2024-06-30,Cafe,Large,10210.16,5775.4400000000005,4434.72,14,0.5657
257,2024 Q3,2024-09-30,Cafe,Large,9649.15,5458.11,4191.03,13,0.5657
257,2024 Q4,2024-12-31,Cafe,Large,8910.7,5040.4,3870.29,13,0.5657
257,2025 Q1,2025-03-31,Cafe,Large,8762.83,4956.75,3806.07,13,0.5657
263,2024 Q2,2024-06-30,Cafe,Small,1949.94,1910.44,39.5,14,0.9797
263,2024 Q3,2024-09-30,Cafe,Small,1997.05,1956.61,40.46,13,0.9798
263,2024 Q4,2024-12-31,Cafe,Small,1986.08,1945.85,40.23,13,0.9797
263,2025 Q1,2025-03-31,Cafe,Small,2109.77,2067.03,42.73,13,0.9797
269,2024 Q2,2024-06-30,Cafe,Small,1917.56,1336.82,580.77,14,0.6971
269,2024 Q3,2024-09-30,Cafe,Small,1928.17,1344.19,583.97,13,0.6971
269,2024 Q4,2024-12-31,Cafe,Small,1886.67,1315.28,571.39,13,0.6971
269,2025 Q1,2025-03-31,Cafe,Small,1975.6,1377.27,598.33,13,0.6971
274,2024 Q2,2024-06-30,Cafe,Small,2500.31,0.0,2500.31,14,0.0
274,2024 Q3,2024-09-30,Cafe,Small,2331.42,0.0,2331.42,13,0.0
274,2024 Q4,2024-12-31,Cafe,Small,2121.9,0.0,2121.9,13,0.0
274,2025 Q1,2025-03-31,Cafe,Small,2073.38,0.0,2073.38,13,0.0
275,2024 Q2,2024-06-30,Cafe,Medium,2508.26,2437.42,70.85,14,0.9718
275,2024 Q3,2024-09-30,Cafe,Medium,2707.48,2631.0,76.46,14,0.9718
275,2024 Q4,2024-12-31,Cafe,Medium,2460.1800000000003,2390.7,69.48,13,0.9718
275,2025 Q1,2025-03-31,Cafe,Medium,2571.9700000000003,2499.34,72.64,13,0.9718
276,2024 Q2,2024-06-30,Cafe,Small,2327.59,0.0,2327.59,14,0.0
276,2024 Q3,2024-09-30,Cafe,Small,2238.77,0.0,2238.77,13,0.0
276,2024 Q4,2024-12-31,Cafe,Small,2119.15,0.0,2119.15,13,0.0
276,2025 Q1,2025-03-31,Cafe,Small,2175.37,0.0,2175.37,13,0.0
281,2024 Q2,2024-06-30,Cafe,Large,4572.93,2817.54,1755.4,15,0.6161
281,2024 Q3,2024-09-30,Cafe,Large,4170.31,2569.48,1600.85,13,0.6161
281,2024 Q4,2024-12-31,Cafe,Large,3997.84,2463.2,1534.63,13,0.6161
281,2025 Q1,2025-03-31,Cafe,Large,4109.31,2531.88,1577.41,13,0.6161
287,2024 Q2,2024-06-30,Cafe,Small,3423.89,3423.89,0.0,14,1.0
287,2024 Q3,2024-09-30,Cafe,Small,1804.0,1804.0,0.0,13,1.0
287,2024 Q4,2024-12-31,Cafe,Small,1525.12,1525.12,0.0,13,1.0
287,2025 Q1,2025-03-31,Cafe,Small,2305.26,2305.26,0.0,13,1.0
290,2024 Q2,2024-06-30,Cafe,Small,1967.27,1911.22,56.05,14,0.9715
290,2024 Q3,2024-09-30,Cafe,Small,2021.6,1963.99,57.59,13,0.9715
290,2024 Q4,2024-12-31,Cafe,Small,2015.59,1958.17,57.45,13,0.9715
290,2025 Q1,2025-03-31,Cafe,Small,2145.11,2083.99,61.13,13,0.9715
297,2024 Q2,2024-06-30,Cafe,Medium,4050.71,0.0,4050.71,14,0.0
297,2024 Q3,2024-09-30,Cafe,Medium,3569.3,0.0,3569.3,13,0.0
297,2024 Q4,2024-12-31,Cafe,Medium,3692.24,0.0,3692.24,13,0.0
297,2025 Q1,2025-03-31,Cafe,Medium,3219.68,0.0,3219.68,13,0.0
298,2024 Q2,2024-06-30,Cafe,Small,2102.11,2102.11,0.0,14,1.0
298,2024 Q3,2024-09-30,Cafe,Small,2144.97,2144.97,0.0,13,1.0
298,2024 Q4,2024-12-31,Cafe,Small,2350.33,2350.33,0.0,13,1.0
298,2025 Q1,2025-03-31,Cafe,Small,2224.09,2224.09,0.0,13,1.0
304,2024 Q2,2024-06-30,Cafe,Small,1982.36,1936.74,45.63,14,0.977
304,2024 Q3,2024-09-30,Cafe,Small,2021.63,1975.06,46.54,13,0.977
304,2024 Q4,2024-12-31,Cafe,Small,2003.05,1956.93,46.12,13,0.977
304,2025 Q1,2025-03-31,Cafe,Small,2120.96,2072.14,48.83,13,0.977
305,2024 Q2,2024-06-30,Cafe,Small,1815.21,1815.21,0.0,14,1.0
305,2024 Q3,2024-09-30,Cafe,Small,2364.2200000000003,2364.2200000000003,0.0,13,1.0
305,2024 Q4,2024-12-31,Cafe,Small,1107.35,1107.35,0.0,13,1.0
305,2025 Q1,2025-03-31,Cafe,Small,1295.03,1295.03,0.0,13,1.0
311,2024 Q2,2024-06-30,Cafe,Medium,2451.41,0.0,2451.41,14,0.0
311,2024 Q3,2024-09-30,Cafe,Medium,2459.17,0.0,2459.17,13,0.0
311,2024 Q4,2024-12-31,Cafe,Medium,2400.94,0.0,2400.94,13,0.0
311,2025 Q1,2025-03-31,Cafe,Medium,2508.96,0.0,2508.96,13,0.0
312,2024 Q2,2024-06-30,Cafe,Small,2727.41,1653.46,1073.91,14,0.6062
312,2024 Q3,2024-09-30,Cafe,Small,2501.71,1516.67,985.06,13,0.6063
312,2024 Q4,2024-12-31,Cafe,Small,2237.68,1356.59,881.09,13,0.6062
312,2025 Q1,2025-03-31,Cafe,Small,2146.96,1301.59,845.39,13,0.6062
313,2024 Q2,2024-06-30,Cafe,Small,2285.1,0.0,2285.1,14,0.0
313,2024 Q3,2024-09-30,Cafe,Small,2397.53,0.0,2397.53,13,0.0
313,2024 Q4,2024-12-31,Cafe,Small,1382.03,0.0,1382.03,13,0.0
313,2025 Q1,2025-03-31,Cafe,Small,1571.28,0.0,1571.28,14,0.0
318,2024 Q2,2024-06-30,Cafe,Large,6985.09,6481.05,504.04,14,0.9278
318,2024 Q3,2024-09-30,Cafe,Large,7271.31,6746.6,524.69,13,0.9278
318,2024 Q4,2024-12-31,Cafe,Large,9489.31,8804.57,684.73,13,0.9278
318,2025 Q1,2025-03-31,Cafe,Large,8373.89,7769.65,604.24,13,0.9278
324,2024 Q2,2024-06-30,Cafe,Small,2572.23,1666.75,905.49,14,0.648
324,2024 Q3,2024-09-30,Cafe,Small,2369.21,1535.2,834.02,13,0.648
324,2024 Q4,2024-12-31,Cafe,Small,2128.28,1379.06,749.21,13,0.648
324,2025 Q1,2025-03-31,Cafe,Small,2051.1,1329.06,722.03,13,0.648
333,2024 Q2,2024-06-30,Cafe,Small,2163.73,0.0,2163.73,14,0.0
333,2024 Q3,2024-09-30,Cafe,Small,2024.67,0.0,2024.67,13,0.0
333,2024 Q4,2024-12-31,Cafe,Small,1848.75,0.0,1848.75,13,0.0
333,2025 Q1,2025-03-31,Cafe,Small,1811.85,0.0,1811.85,13,0.0
336,2024 Q2,2024-06-30,Cafe,Small,2409.88,2409.88,0.0,15,1.0
336,2024 Q3,2024-09-30,Cafe,Small,1282.15,1282.15,0.0,13,1.0
336,2024 Q4,2024-12-31,Cafe,Small,1994.51,1994.51,0.0,13,1.0
336,2025 Q1,2025-03-31,Cafe,Small,2244.25,2244.25,0.0,13,1.0
341,2024 Q2,2024-06-30,Cafe,Small,2669.54,1246.35,1423.21,14,0.4669
341,2024 Q3,2024-09-30,Cafe,Small,2057.77,960.7,1097.05,13,0.4669
341,2024 Q4,2024-12-31,Cafe,Small,1574.2,734.97,839.23,13,0.4669
341,2025 Q1,2025-03-31,Cafe,Small,1851.94,864.62,987.28,13,0.4669
342,2024 Q2,2024-06-30,Cafe,Small,1710.33,0.0,1710.33,14,0.0
342,2024 Q3,2024-09-30,Cafe,Small,1547.42,0.0,1547.42,13,0.0
342,2024 Q4,2024-12-31,Cafe,Small,1363.31,0.0,1363.31,13,0.0
342,2025 Q1,2025-03-31,Cafe,Small,1286.59,0.0,1286.59,13,0.0
343,2024 Q2,2024-06-30,Cafe,Medium,5162.61,1838.13,3324.47,14,0.356
343,2024 Q3,2024-09-30,Cafe,Medium,3719.8,1324.44,2395.36,13,0.3561
343,2024 Q4,2024-12-31,Cafe,Medium,3160.87,1125.45,2035.44,13,0.3561
343,2025 Q1,2025-03-31,Cafe,Medium,2943.95,1048.19,1895.76,13,0.356
353,2024 Q2,2024-06-30,Cafe,Large,4782.61,0.0,4782.61,14,0.0
353,2024 Q3,2024-09-30,Cafe,Large,4380.85,0.0,4380.85,13,0.0
353,2024 Q4,2024-12-31,Cafe,Large,3912.78,0.0,3912.78,13,0.0
353,2025 Q1,2025-03-31,Cafe,Large,3748.42,0.0,3748.42,13,0.0
355,2024 Q2,2024-06-30,Cafe,Large,7005.28,4760.27,2244.98,14,0.6795
355,2024 Q3,2024-09-30,Cafe,Large,6715.61,4563.4400000000005,2152.16,13,0.6795
355,2024 Q4,2024-12-31,Cafe,Large,6282.09,4268.85,2013.23,13,0.6795
355,2025 Q1,2025-03-31,Cafe,Large,6306.26,4285.29,2020.96,13,0.6795
358,2024 Q2,2024-06-30,Cafe,Small,2472.07,1880.67,591.39,14,0.7608
358,2024 Q3,2024-09-30,Cafe,Small,2372.76,1805.13,567.64,13,0.7608
358,2024 Q4,2024-12-31,Cafe,Small,2241.5,1705.27,536.24,13,0.7608
358,2025 Q1,2025-03-31,Cafe,Small,2297.8,1748.11,549.69,13,0.7608
365,2024 Q2,2024-06-30,Fine_Dine_Meat,Small,1312.72,1312.72,0.0,14,1.0
365,2024 Q3,2024-09-30,Fine_Dine_Meat,Small,1177.2,1177.2,0.0,13,1.0
365,2024 Q4,2024-12-31,Fine_Dine_Meat,Small,1277.05,1277.05,0.0,13,1.0
365,2025 Q1,2025-03-31,Fine_Dine_Meat,Small,1227.62,1227.62,0.0,13,1.0
369,2024 Q2,2024-06-30,Fine_Dine_Meat,Small,2651.09,2644.94,6.13,14,0.9977
369,2024 Q3,2024-09-30,Fine_Dine_Meat,Small,2630.47,2624.39,6.07,13,0.9977
369,2024 Q4,2024-12-31,Fine_Dine_Meat,Small,3137.75,3130.47,7.27,13,0.9977
369,2025 Q1,2025-03-31,Fine_Dine_Meat,Small,3303.52,3295.85,7.64,13,0.9977
