InvoiceId,Date,VATPeriod,BuyerId,BuyerSector,BuyerSizeCategory,SupplierId,SupplierSector,Good,Quantity,PunktafgiftRate,TotalObligation,ActualPayment,PaymentFactor,ComplianceCategory,UnderPayment
INV402082,2024-04-01,2024 Q2,692,Importer,Large,203,Cafe,Coffee_Beans,19.941796,25.0,498.54,361.2,0.7245,partially_compliant,137.35
INV403820,2024-04-01,2024 Q2,680,Importer,Medium,205,Cafe,Coffee_Beans,4.20799,25.0,105.2,104.91,0.9972,compliant,0.29
INV405558,2024-04-01,2024 Q2,684,Importer,Medium,207,Cafe,Coffee_Beans,4.88107,25.0,122.03,122.03,1.0,compliant,0.0
INV415117,2024-04-01,2024 Q2,677,Importer,Small,218,Cafe,Coffee_Beans,11.101369,25.0,277.53,277.53,1.0,compliant,0.0
INV420331,2024-04-01,2024 Q2,686,Importer,Small,224,Cafe,Coffee_Beans,3.583148,25.0,89.58,55.08,0.6149,partially_compliant,34.5
INV423807,2024-04-01,2024 Q2,677,Importer,Small,228,Cafe,Coffee_Beans,4.337987,25.0,108.45,108.45,1.0,compliant,0.0
INV425545,2024-04-01,2024 Q2,682,Importer,Small,230,Cafe,Coffee_Beans,4.873504,25.0,121.84,74.92,0.6149,partially_compliant,46.92
INV426414,2024-04-01,2024 Q2,681,Importer,Small,231,Cafe,Coffee_Beans,4.734484,25.0,118.36,0.0,0.0,non_compliant,118.36
INV429021,2024-04-01,2024 Q2,673,Importer,Medium,234,Cafe,Coffee_Beans,4.427342,25.0,110.68,110.68,1.0,compliant,0.0
INV429890,2024-04-01,2024 Q2,673,Importer,Medium,235,Cafe,Coffee_Beans,21.039847,25.0,526.0,526.0,1.0,compliant,0.0
INV431628,2024-04-01,2024 Q2,683,Importer,Small,237,Cafe,Coffee_Beans,10.781801,25.0,269.55,267.01,0.9906,compliant,2.53
INV437711,2024-04-01,2024 Q2,682,Importer,Small,244,Cafe,Coffee_Beans,5.394722,25.0,134.87,82.93,0.6149,partially_compliant,51.94
INV439449,2024-04-01,2024 Q2,688,Importer,Small,246,Cafe,Coffee_Beans,5.109489,25.0,127.74,127.74,1.0,compliant,0.0
INV444663,2024-04-01,2024 Q2,675,Importer,Small,252,Cafe,Coffee_Beans,5.34512,25.0,133.63,132.39,0.9907,compliant,1.24
INV448139,2024-04-01,2024 Q2,678,Importer,Medium,256,Cafe,Coffee_Beans,8.456676,25.0,211.42,122.65,0.5801,partially_compliant,88.77
INV449008,2024-04-01,2024 Q2,680,Importer,Medium,257,Cafe,Coffee_Beans,21.326451,25.0,533.16,531.69,0.9972,compliant,1.47
INV454222,2024-04-01,2024 Q2,675,Importer,Small,263,Cafe,Coffee_Beans,3.907534,25.0,97.69,96.78,0.9907,compliant,0.91
INV459436,2024-04-01,2024 Q2,677,Importer,Small,269,Cafe,Coffee_Beans,3.872905,25.0,96.82,96.82,1.0,compliant,0.0
INV463781,2024-04-01,2024 Q2,673,Importer,Medium,274,Cafe,Coffee_Beans,5.204987,25.0,130.12,130.12,1.0,compliant,0.0
INV464650,2024-04-01,2024 Q2,689,Importer,Small,275,Cafe,Coffee_Beans,5.068937,25.0,126.72,126.72,1.0,compliant,0.0
INV465519,2024-04-01,2024 Q2,692,Importer,Large,276,Cafe,Coffee_Beans,4.794337,25.0,119.86,86.84,0.7245,partially_compliant,33.02
INV469864,2024-04-01,2024 Q2,689,Importer,Small,281,Cafe,Coffee_Beans,8.647869,25.0,216.2,216.2,1.0,compliant,0.0
INV475078,2024-04-01,2024 Q2,680,Importer,Medium,287,Cafe,Coffee_Beans,4.511377,25.0,112.78,112.47,0.9972,compliant,0.31
INV477685,2024-04-01,2024 Q2,675,Importer,Small,290,Cafe,Coffee_Beans,3.936159,25.0,98.4,97.49,0.9907,compliant,0.91
INV483768,2024-04-01,2024 Q2,689,Importer,Small,297,Cafe,Coffee_Beans,8.021016,25.0,200.53,200.53,1.0,compliant,0.0
INV484637,2024-04-01,2024 Q2,674,Importer,Small,298,Cafe,Coffee_Beans,4.535105,25.0,113.38,109.04,0.9617,compliant,4.34
INV489851,2024-04-01,2024 Q2,682,Importer,Small,304,Cafe,Coffee_Beans,3.979839,25.0,99.5,61.18,0.6149,partially_compliant,38.32
INV490720,2024-04-01,2024 Q2,682,Importer,Small,305,Cafe,Coffee_Beans,4.003498,25.0,100.09,61.54,0.6149,partially_compliant,38.55
INV495934,2024-04-01,2024 Q2,680,Importer,Medium,311,Cafe,Coffee_Beans,4.955881,25.0,123.9,123.55,0.9972,compliant,0.34
INV496803,2024-04-01,2024 Q2,689,Importer,Small,312,Cafe,Coffee_Beans,5.71271,25.0,142.82,142.82,1.0,compliant,0.0
INV497672,2024-04-01,2024 Q2,682,Importer,Small,313,Cafe,Coffee_Beans,4.794982,25.0,119.87,73.71,0.6149,partially_compliant,46.17
INV502017,2024-04-01,2024 Q2,688,Importer,Small,318,Cafe,Coffee_Beans,16.968863,25.0,424.22,424.22,1.0,compliant,0.0
INV507231,2024-04-01,2024 Q2,692,Importer,Large,324,Cafe,Coffee_Beans,5.379262,25.0,134.48,97.43,0.7245,partially_compliant,37.05
INV515052,2024-04-01,2024 Q2,678,Importer,Medium,333,Cafe,Coffee_Beans,4.497967,25.0,112.45,65.24,0.5801,partially_compliant,47.21
INV517659,2024-04-01,2024 Q2,690,Importer,Small,336,Cafe,Coffee_Beans,4.542594,25.0,113.56,44.43,0.3913,partially_compliant,69.13
INV522004,2024-04-01,2024 Q2,690,Importer,Small,341,Cafe,Coffee_Beans,5.685099,25.0,142.13,55.61,0.3913,partially_compliant,86.52
INV522873,2024-04-01,2024 Q2,686,Importer,Small,342,Cafe,Coffee_Beans,3.60038,25.0,90.01,55.34,0.6149,partially_compliant,34.66
INV523742,2024-04-01,2024 Q2,690,Importer,Small,343,Cafe,Coffee_Beans,8.528329,25.0,213.21,83.42,0.3913,partially_compliant,129.79
INV532432,2024-04-01,2024 Q2,686,Importer,Small,353,Cafe,Coffee_Beans,10.022624,25.0,250.57,154.07,0.6149,partially_compliant,96.5
INV534170,2024-04-01,2024 Q2,678,Importer,Medium,355,Cafe,Coffee_Beans,14.425841,25.0,360.65,209.23,0.5801,partially_compliant,151.42
INV536777,2024-04-01,2024 Q2,679,Importer,Large,358,Cafe,Coffee_Beans,5.096032,25.0,127.4,72.07,0.5657,partially_compliant,55.34
INV542234,2024-04-01,2024 Q2,673,Importer,Medium,365,Fine_Dine_Meat,Beer,25.790178,3.0,77.37,77.37,1.0,compliant,0.0
INV544445,2024-04-01,2024 Q2,692,Importer,Large,369,Fine_Dine_Meat,Wine,14.121541,10.67,150.68,109.17,0.7245,partially_compliant,41.51
INV547210,2024-04-01,2024 Q2,675,Importer,Small,374,Fine_Dine_Meat,Wine,17.162744,10.67,183.13,181.43,0.9907,compliant,1.7
INV547211,2024-04-01,2024 Q2,683,Importer,Small,374,Fine_Dine_Meat,Beer,25.744117,3.0,77.23,76.51,0.9906,compliant,0.73
