CompanyId,VATPeriod,VATDate,Sector,OutputVAT,ExpectedOutputVAT,InputVAT,ExpectedInputVAT,TotalSales,CountSellerInvoices,TotalPurchases,CountBuyerInvoices,ReportedVATLiability,ExpectedVATLiability,Size,SizeCategory
2,2024 Q2,2024-06-30,Pizzeria,70018,70018,28979,28979,350090,91,144898,117,41039,41039,3182675,Small
2,2024 Q3,2024-09-30,Pizzeria,67902,68797,27493,27493,343985,92,137465,107,40409,41304,3182675,Small
2,2024 Q4,2024-12-31,Pizzeria,89028,90018,33654,33654,450092,92,168270,107,55374,56364,3182675,Small
2,2025 Q1,2025-03-31,Pizzeria,99708,99708,36536,36536,498543,91,182680,107,63172,63172,3182675,Small
2,2025 Q2,2025-06-30,Pizzeria,69024,70075,27826,27826,350376,91,139130,107,41198,42249,3182675,Small
3,2024 Q2,2024-06-30,Pizzeria,67178,99376,43046,43046,496880,91,216989,115,24132,56330,4064667,Medium
3,2024 Q3,2024-09-30,Pizzeria,55142,87945,37502,37502,439726,92,189055,107,17640,50443,4064667,Medium
3,2024 Q4,2024-12-31,Pizzeria,60209,118521,47747,47747,592609,92,240507,109,12462,70774,4064667,Medium
3,2025 Q1,2025-03-31,Pizzeria,72282,110018,44642,44642,550092,91,224811,107,27640,65376,4064667,Medium
3,2025 Q2,2025-06-30,Pizzeria,51941,77989,34256,34256,389947,91,172570,107,17685,43733,4064667,Medium
4,2024 Q2,2024-06-30,Pizzeria,49810,49810,23126,23126,249051,91,115634,115,26684,26684,2428853,Small
4,2024 Q3,2024-09-30,Pizzeria,49354,49354,21749,21749,246772,92,108745,107,27605,27605,2428853,Small
4,2024 Q4,2024-12-31,Pizzeria,62267,62267,26172,26172,311339,92,130861,107,36095,36095,2428853,Small
4,2025 Q1,2025-03-31,Pizzeria,63849,63849,26995,26995,319248,91,134979,107,36854,36854,2428853,Small
4,2025 Q2,2025-06-30,Pizzeria,57300,57300,24742,24742,286504,91,123714,107,32558,32558,2428853,Small
5,2024 Q2,2024-06-30,Pizzeria,59026,59026,24733,24733,295134,91,124679,115,34293,34293,3004198,Small
5,2024 Q3,2024-09-30,Pizzeria,59719,60383,23820,23820,301919,92,120126,107,35899,36563,3004198,Small
5,2024 Q4,2024-12-31,Pizzeria,78334,78334,29821,29821,391671,92,150210,107,48513,48513,3004198,Small
5,2025 Q1,2025-03-31,Pizzeria,82360,82360,31473,31473,411801,91,158522,107,50887,50887,3004198,Small
5,2025 Q2,2025-06-30,Pizzeria,75613,75613,29136,29136,378069,91,146906,107,46477,46477,3004198,Small
6,2024 Q2,2024-06-30,Pizzeria,63585,63585,27429,27429,317927,91,142897,115,36156,36156,2820400,Small
