CompanyId,VATPeriod,VATDate,Sector,OutputVAT,ExpectedOutputVAT,InputVAT,ExpectedInputVAT,TotalSales,CountSellerInvoices,TotalPurchases,CountBuyerInvoices,ReportedVATLiability,ExpectedVATLiability,Size,SizeCategory
2,2024 Q2,2024-06-30,Pizzeria,70018.0,70018.0,29078.69,29078.69,350090.0,91.0,145396.44,116.0,40939.31,40939.31,495486.44,Small
2,2024 Q3,2024-09-30,Pizzeria,67902.0,68797.0,27493.0,27493.0,343985.0,92.0,137465.0,107.0,40409.0,41304.0,481450.0,Small
2,2024 Q4,2024-12-31,Pizzeria,89028.0,90018.0,33654.0,33654.0,450092.0,92.0,168270.0,107.0,55374.0,56364.0,618362.0,Small
2,2025 Q1,2025-03-31,Pizzeria,99708.0,99708.0,36536.0,36536.0,498543.0,91.0,182680.0,107.0,63172.0,63172.0,681223.0,Small
2,2025 Q2,2025-06-30,Pizzeria,69024.0,70075.0,27826.0,27826.0,350376.0,91.0,139130.0,107.0,41198.0,42249.0,489506.0,Small
2,2025 Q3,2025-09-30,Pizzeria,59781.0,59781.0,23648.0,23648.0,298906.0,92.0,118240.0,107.0,36133.0,36133.0,417146.0,Small
3,2024 Q2,2024-06-30,Pizzeria,67178.0,99376.0,43046.0,43046.0,496880.0,91.0,216989.0,115.0,24132.0,56330.0,713869.0,Medium
3,2024 Q3,2024-09-30,Pizzeria,55142.0,87945.0,37502.0,37502.0,439726.0,92.0,189055.0,107.0,17640.0,50443.0,628781.0,Medium
3,2024 Q4,2024-12-31,Pizzeria,60209.0,118521.0,47747.0,47747.0,592609.0,92.0,240677.83,108.0,12462.0,70774.0,833286.83,Medium
3,2025 Q1,2025-03-31,Pizzeria,72282.0,110018.0,44642.0,44642.0,550092.0,91.0,224811.0,107.0,27640.0,65376.0,774903.0,Medium
3,2025 Q2,2025-06-30,Pizzeria,51941.0,77989.0,34256.0,34256.0,389947.0,91.0,172570.0,107.0,17685.0,43733.0,562517.0,Medium
3,2025 Q3,2025-09-30,Pizzeria,50886.0,76635.0,33397.0,33397.0,383179.0,92.0,168302.0,107.0,17489.0,43238.0,551481.0,Medium
4,2024 Q2,2024-06-30,Pizzeria,49810.0,49810.0,23126.0,23126.0,249051.0,91.0,115634.0,115.0,26684.0,26684.0,364685.0,Small
4,2024 Q3,2024-09-30,Pizzeria,49354.0,49354.0,21749.0,21749.0,246772.0,92.0,108745.0,107.0,27605.0,27605.0,355517.0,Small
4,2024 Q4,2024-12-31,Pizzeria,62267.0,62267.0,26172.0,26172.0,311339.0,92.0,130861.0,107.0,36095.0,36095.0,442200.0,Small
4,2025 Q1,2025-03-31,Pizzeria,63849.0,63849.0,26995.0,26995.0,319248.0,91.0,134979.0,107.0,36854.0,36854.0,454227.0,Small
4,2025 Q2,2025-06-30,Pizzeria,57300.0,57300.0,24742.0,24742.0,286504.0,91.0,123714.0,107.0,32558.0,32558.0,410218.0,Small
4,2025 Q3,2025-09-30,Pizzeria,56660.0,56660.0,23740.0,23740.0,283304.0,92.0,118702.0,107.0,32920.0,32920.0,402006.0,Small
5,2024 Q2,2024-06-30,Pizzeria,59026.0,59026.0,24733.0,24733.0,295134.0,91.0,124679.0,115.0,34293.0,34293.0,419813.0,Small
