InvoiceId,Date,VATPeriod,CompanyId,Sector,SizeCategory,BuyerId,BuyerSector,BuyerSizeCategory,Good,Quantity,ExciseDutyRate,TotalObligation,ActualPayment,PaymentFactor,ComplianceCategory,UnderPayment
INV3396071,2023-01-01,2023 Q1,2050,Importer,Medium,1593,Distributors,Large,Coffee_Beans_Imported,12.049595,25.0,301.24,207.78,0.6897,partially_compliant,93.46
INV3396077,2023-01-01,2023 Q1,2046,Importer,Small,1593,Distributors,Large,Wine_Imported,140.677957,10.67,1501.03,1464.83,0.9759,compliant,36.2
INV3396078,2023-01-01,2023 Q1,2065,Importer,Small,1593,Distributors,Large,Beer_Imported,37.173926,3.0,111.52,108.51,0.973,compliant,3.01
INV3398104,2023-01-01,2023 Q1,2048,Importer,Small,1594,Distributors,Medium,Coffee_Beans_Imported,12.614299,25.0,315.36,310.49,0.9846,compliant,4.86
INV3398106,2023-01-01,2023 Q1,2029,Importer,Medium,1594,Distributors,Medium,Wine_Imported,53.26668,10.67,568.36,56.84,0.1,non_compliant,511.52
INV3400134,2023-01-01,2023 Q1,2071,Importer,Small,1595,Distributors,Small,Coffee_Beans_Imported,0.511,25.0,12.78,7.85,0.6148,partially_compliant,4.92
INV3400136,2023-01-01,2023 Q1,2057,Importer,Small,1595,Distributors,Small,Wine_Imported,36.231,10.67,386.58,0.0,0.0,non_compliant,386.58
INV3400137,2023-01-01,2023 Q1,2038,Importer,Large,1595,Distributors,Small,Beer_Imported,3.161,3.0,9.48,9.34,0.9852,compliant,0.14
INV3402020,2023-01-01,2023 Q1,2038,Importer,Large,1596,Distributors,Small,Wine_Imported,75.363545,10.67,804.13,792.21,0.9852,compliant,11.92
INV3402021,2023-01-01,2023 Q1,2069,Importer,Medium,1596,Distributors,Small,Beer_Imported,13.831766,3.0,41.5,26.18,0.6309,partially_compliant,15.32
INV3403756,2023-01-01,2023 Q1,2027,Importer,Small,1597,Distributors,Medium,Coffee_Beans_Imported,19.976101,25.0,499.4,489.77,0.9807,compliant,9.63
INV3403761,2023-01-01,2023 Q1,2031,Importer,Medium,1597,Distributors,Medium,Beer_Imported,68.414944,3.0,205.24,202.02,0.9843,compliant,3.22
INV3405645,2023-01-01,2023 Q1,2040,Importer,Large,1598,Distributors,Large,Coffee_Beans_Imported,11.783616,25.0,294.59,186.5,0.6331,partially_compliant,108.09
INV3405647,2023-01-01,2023 Q1,2058,Importer,Medium,1598,Distributors,Large,Wine_Imported,37.979089,10.67,405.24,395.16,0.9751,compliant,10.08
INV3407526,2023-01-01,2023 Q1,2054,Importer,Medium,1599,Distributors,Medium,Coffee_Beans_Imported,14.53043,25.0,363.26,354.12,0.9748,compliant,9.14
INV3407532,2023-01-01,2023 Q1,2035,Importer,Small,1599,Distributors,Medium,Wine_Imported,73.278349,10.67,781.88,492.02,0.6293,partially_compliant,289.86
INV3407533,2023-01-01,2023 Q1,2042,Importer,Large,1599,Distributors,Medium,Beer_Imported,26.064128,3.0,78.19,43.78,0.5599,partially_compliant,34.41
INV3409556,2023-01-01,2023 Q1,2030,Importer,Small,1600,Distributors,Small,Beer_Imported,127.625266,3.0,382.88,373.58,0.9757,compliant,9.29
INV3410865,2023-01-01,2023 Q1,2050,Importer,Medium,1601,Distributors,Medium,Coffee_Beans_Imported,2.646,25.0,66.15,45.63,0.6897,partially_compliant,20.52
