CompanyId,VATPeriod,VATDate,Sector,OutputVAT,ExpectedOutputVAT,InputVAT,ExpectedInputVAT,TotalSales,CountSellerInvoices,TotalPurchases,CountBuyerInvoices,ReportedVATLiability,ExpectedVATLiability,Size,SizeCategory
2,2027 Q2,2027-06-30,Pizzeria,70018,70018,28980,28980,350090,91,144899,117,41038,41038,3182684,Small
2,2027 Q3,2027-09-30,Pizzeria,67903,68797,27493,27493,343985,92,137466,107,40410,41304,3182684,Small
2,2027 Q4,2027-12-31,Pizzeria,89029,90019,33654,33654,450093,92,168271,107,55375,56365,3182684,Small
2,2028 Q1,2028-03-31,Pizzeria,99709,99709,36536,36536,498544,91,182681,107,63173,63173,3182684,Small
2,2028 Q2,2028-06-30,Pizzeria,69024,70075,27826,27826,350377,91,139131,107,41198,42249,3182684,Small
2,2028 Q3,2028-09-30,Pizzeria,59781,59781,23648,23648,298906,92,118241,107,36133,36133,3182684,Small
3,2027 Q2,2027-06-30,Pizzeria,67178,99376,43047,43047,496880,91,216990,115,24131,56329,4064676,Medium
3,2027 Q3,2027-09-30,Pizzeria,55142,87945,37502,37502,439727,92,189056,107,17640,50443,4064676,Medium
3,2027 Q4,2027-12-31,Pizzeria,60209,118522,47747,47747,592610,92,240508,109,12462,70775,4064676,Medium
3,2028 Q1,2028-03-31,Pizzeria,72282,110019,44642,44642,550093,91,224811,107,27640,65377,4064676,Medium
3,2028 Q2,2028-06-30,Pizzeria,51941,77990,34256,34256,389948,91,172570,107,17685,43734,4064676,Medium
3,2028 Q3,2028-09-30,Pizzeria,50886,76636,33397,33397,383180,92,168303,107,17489,43239,4064676,Medium
4,2027 Q2,2027-06-30,Pizzeria,49810,49810,23127,23127,249051,91,115635,115,26683,26683,2428859,Small
4,2027 Q3,2027-09-30,Pizzeria,49354,49354,21749,21749,246772,92,108746,107,27605,27605,2428859,Small
4,2027 Q4,2027-12-31,Pizzeria,62268,62268,26172,26172,311339,92,130861,107,36096,36096,2428859,Small
4,2028 Q1,2028-03-31,Pizzeria,63850,63850,26996,26996,319248,91,134980,107,36854,36854,2428859,Small
4,2028 Q2,2028-06-30,Pizzeria,57301,57301,24743,24743,286505,91,123714,107,32558,32558,2428859,Small
4,2028 Q3,2028-09-30,Pizzeria,56661,56661,23741,23741,283305,92,118703,107,32920,32920,2428859,Small
5,2027 Q2,2027-06-30,Pizzeria,59027,59027,24733,24733,295134,91,124680,115,34294,34294,3004203,Small
5,2027 Q3,2027-09-30,Pizzeria,59720,60384,23821,23821,301919,92,120126,107,35899,36563,3004203,Small
5,2027 Q4,2027-12-31,Pizzeria,78334,78334,29821,29821,391672,92,150210,107,48513,48513,3004203,Small
5,2028 Q1,2028-03-31,Pizzeria,82360,82360,31474,31474,411802,91,158522,107,50886,50886,3004203,Small
5,2028 Q2,2028-06-30,Pizzeria,75614,75614,29137,29137,378070,91,146907,107,46477,46477,3004203,Small
5,2028 Q3,2028-09-30,Pizzeria,76385,76385,28396,28396,381924,92,143237,107,47989,47989,3004203,Small
6,2027 Q2,2027-06-30,Pizzeria,63585,63585,27430,27430,317927,91,142897,115,36155,36155,2820407,Small
6,2027 Q3,2027-09-30,Pizzeria,69063,69063,28275,28275,345316,92,147590,107,40788,40788,2820407,Small
6,2027 Q4,2027-12-31,Pizzeria,76761,77693,30870,30870,388463,92,160079,107,45891,46823,2820407,Small
6,2028 Q1,2028-03-31,Pizzeria,68157,68157,27749,27749,340786,91,143704,107,40408,40408,2820407,Small
6,2028 Q2,2028-06-30,Pizzeria,59642,60428,25172,25172,302142,91,131047,109,34470,35256,2820407,Small
6,2028 Q3,2028-09-30,Pizzeria,56426,56426,22692,22692,282129,92,118327,107,33734,33734,2820407,Small
7,2027 Q2,2027-06-30,Pizzeria,60146,60147,27192,27192,300733,91,135959,115,32954,32955,3016360,Small
7,2027 Q3,2027-09-30,Pizzeria,59504,59504,25465,25465,297521,92,127324,107,34039,34039,3016360,Small
7,2027 Q4,2027-12-31,Pizzeria,75881,75881,31319,31319,379407,92,156593,107,44562,44562,3016360,Small
7,2028 Q1,2028-03-31,Pizzeria,79592,79592,32990,32990,397961,91,164952,107,46602,46602,3016360,Small
7,2028 Q2,2028-06-30,Pizzeria,73788,73788,30922,30922,368941,91,154610,107,42866,42866,3016360,Small
7,2028 Q3,2028-09-30,Pizzeria,75873,75873,30598,30598,379367,92,152992,107,45275,45275,3016360,Small
8,2027 Q2,2027-06-30,Pizzeria,43456,73036,34349,34349,365182,91,173288,115,9107,38687,3878847,Medium
8,2027 Q3,2027-09-30,Pizzeria,60676,102148,41199,41199,510742,92,208031,107,19477,60949,3878847,Medium
8,2027 Q4,2027-12-31,Pizzeria,61042,102591,42236,42236,512956,92,212910,109,18806,60355,3878847,Medium
8,2028 Q1,2028-03-31,Pizzeria,52870,89007,37784,37784,445034,91,190403,109,15086,51223,3878847,Medium
8,2028 Q2,2028-06-30,Pizzeria,49813,83860,35831,35831,419299,91,180757,107,13982,48029,3878847,Medium
8,2028 Q3,2028-09-30,Pizzeria,55289,93393,38287,38287,466966,92,193279,107,17002,55106,3878847,Medium
9,2027 Q2,2027-06-30,Pizzeria,25116,49834,22242,22242,249170,91,115403,117,2874,27592,2086282,Small
9,2027 Q3,2027-09-30,Pizzeria,17690,32399,15024,15024,161997,92,77856,109,2666,17375,2086282,Small
9,2027 Q4,2027-12-31,Pizzeria,30026,44351,19709,19709,221755,92,101724,107,10317,24642,2086282,Small
9,2028 Q1,2028-03-31,Pizzeria,50429,63433,26632,26632,317167,91,137638,107,23797,36801,2086282,Small
9,2028 Q2,2028-06-30,Pizzeria,43200,57987,24211,24211,289937,91,125700,107,18989,33776,2086282,Small
9,2028 Q3,2028-09-30,Pizzeria,25055,39707,17222,17222,198537,92,89398,107,7833,22485,2086282,Small
10,2027 Q2,2027-06-30,Pizzeria,78457,108216,45767,45767,541078,91,228834,117,32690,62449,3875080,Medium
10,2027 Q3,2027-09-30,Pizzeria,66522,85504,34934,34934,427521,92,174671,107,31588,50570,3875080,Medium
10,2027 Q4,2027-12-31,Pizzeria,48873,83686,34922,34922,418432,92,174612,107,13951,48764,3875080,Medium
10,2028 Q1,2028-03-31,Pizzeria,47156,92462,38351,38351,462309,91,191756,107,8805,54111,3875080,Medium
10,2028 Q2,2028-06-30,Pizzeria,60218,82603,35505,35505,413013,91,177526,109,24713,47098,3875080,Medium
10,2028 Q3,2028-09-30,Pizzeria,74180,95225,37840,37840,476126,92,189202,109,36340,57385,3875080,Medium
11,2027 Q2,2027-06-30,Pizzeria,229240,260204,130123,130123,1301018,91,656333,115,99117,130081,12742938,Large
11,2027 Q3,2027-09-30,Pizzeria,224139,253551,119866,119866,1267755,92,604834,107,104273,133685,12742938,Large
11,2027 Q4,2027-12-31,Pizzeria,243395,316509,145654,145654,1582546,92,733988,107,97741,170855,12742938,Large
11,2028 Q1,2028-03-31,Pizzeria,284104,322845,149882,149882,1614224,91,755203,107,134222,172963,12742938,Large
11,2028 Q2,2028-06-30,Pizzeria,253329,289519,136099,136099,1447594,91,686502,109,117230,153420,12742938,Large
11,2028 Q3,2028-09-30,Pizzeria,256012,287009,130365,130365,1435043,92,657898,107,125647,156644,12742938,Large
12,2027 Q2,2027-06-30,Pizzeria,54460,55233,23748,23748,276166,91,123359,115,30712,31485,2569074,Small
12,2027 Q3,2027-09-30,Pizzeria,53853,53853,21995,21995,269265,92,114424,107,31858,31858,2569074,Small
12,2027 Q4,2027-12-31,Pizzeria,66197,66933,26413,26413,334666,92,136670,107,39784,40520,2569074,Small
12,2028 Q1,2028-03-31,Pizzeria,67659,67659,26938,26938,338295,91,139312,107,40721,40721,2569074,Small
12,2028 Q2,2028-06-30,Pizzeria,59890,59890,24230,24230,299451,91,125879,107,35660,35660,2569074,Small
12,2028 Q3,2028-09-30,Pizzeria,57542,58418,22959,22959,292088,92,119499,107,34583,35459,2569074,Small
13,2027 Q2,2027-06-30,Pizzeria,89027,104614,44949,44949,523068,91,226764,117,44078,59665,4858240,Medium
13,2027 Q3,2027-09-30,Pizzeria,87399,102341,41736,41736,511707,92,210628,107,45663,60605,4858240,Medium
13,2027 Q4,2027-12-31,Pizzeria,108832,127587,50075,50075,637936,92,252399,107,58757,77512,4858240,Medium
13,2028 Q1,2028-03-31,Pizzeria,112137,129339,51166,51166,646693,91,257866,107,60971,78173,4858240,Medium
13,2028 Q2,2028-06-30,Pizzeria,98838,114795,46333,46333,573974,91,233758,111,52505,68462,4858240,Medium
13,2028 Q3,2028-09-30,Pizzeria,96322,112263,44009,44009,561314,92,222133,107,52313,68254,4858240,Medium
14,2027 Q2,2027-06-30,Pizzeria,44369,44369,21830,21830,221844,91,109149,115,22539,22539,1897002,Small
14,2027 Q3,2027-09-30,Pizzeria,41152,41152,19521,19521,205760,92,97605,107,21631,21631,1897002,Small
14,2027 Q4,2027-12-31,Pizzeria,48180,48716,22239,22239,243580,92,111196,107,25941,26477,1897002,Small
14,2028 Q1,2028-03-31,Pizzeria,46906,46906,21786,21786,234529,91,108929,107,25120,25120,1897002,Small
14,2028 Q2,2028-06-30,Pizzeria,39536,39536,19128,19128,197679,91,95639,107,20408,20408,1897002,Small
14,2028 Q3,2028-09-30,Pizzeria,36649,36649,17569,17569,183247,92,87845,107,19080,19080,1897002,Small
15,2027 Q2,2027-06-30,Pizzeria,134524,134524,63793,63793,672621,91,318967,115,70731,70731,6314597,Large
15,2027 Q3,2027-09-30,Pizzeria,129736,129736,59010,59010,648678,92,295051,107,70726,70726,6314597,Large
15,2027 Q4,2027-12-31,Pizzeria,160284,160284,69305,69305,801422,92,346523,109,90979,90979,6314597,Large
15,2028 Q1,2028-03-31,Pizzeria,161992,161992,70508,70508,809962,91,352539,107,91484,91484,6314597,Large
15,2028 Q2,2028-06-30,Pizzeria,144330,144330,64532,64532,721648,91,322659,107,79798,79798,6314597,Large
15,2028 Q3,2028-09-30,Pizzeria,140620,142761,62144,62144,713805,92,310722,109,78476,80617,6314597,Large
16,2027 Q2,2027-06-30,Pizzeria,60912,60912,23371,23371,304560,91,121661,115,37541,37541,2868240,Small
16,2027 Q3,2027-09-30,Pizzeria,68906,68906,24444,24444,344532,92,127577,107,44462,44462,2868240,Small
16,2027 Q4,2027-12-31,Pizzeria,86707,86707,30508,30508,433533,92,158242,109,56199,56199,2868240,Small
16,2028 Q1,2028-03-31,Pizzeria,100036,100036,34456,34456,500178,91,178702,109,65580,65580,2868240,Small
16,2028 Q2,2028-06-30,Pizzeria,69122,69123,24068,24068,345613,91,125217,107,45054,45055,2868240,Small
16,2028 Q3,2028-09-30,Pizzeria,32149,32149,13049,13049,160744,92,67681,109,19100,19100,2868240,Small
17,2027 Q2,2027-06-30,Pizzeria,65765,65765,26164,26164,328825,91,137367,115,39601,39601,2737641,Small
17,2027 Q3,2027-09-30,Pizzeria,61645,61645,23302,23302,308226,92,122572,109,38343,38343,2737641,Small
17,2027 Q4,2027-12-31,Pizzeria,73747,73747,27414,27414,368733,92,143109,107,46333,46333,2737641,Small
17,2028 Q1,2028-03-31,Pizzeria,71769,71769,27092,27092,358846,91,141292,107,44677,44677,2737641,Small
17,2028 Q2,2028-06-30,Pizzeria,61159,61159,23476,23476,305797,91,123123,107,37683,37683,2737641,Small
17,2028 Q3,2028-09-30,Pizzeria,57356,57356,21492,21492,286781,92,112970,107,35864,35864,2737641,Small
18,2027 Q2,2027-06-30,Pizzeria,132460,134477,58418,58418,672386,91,306411,115,74042,76059,6317813,Large
18,2027 Q3,2027-09-30,Pizzeria,127328,130325,53877,53877,651626,92,283096,109,73451,76448,6317813,Large
18,2027 Q4,2027-12-31,Pizzeria,156555,161898,64478,64478,809488,92,336572,107,92077,97420,6317813,Large
18,2028 Q1,2028-03-31,Pizzeria,160633,164583,66088,66088,822914,91,344758,107,94545,98495,6317813,Large
18,2028 Q2,2028-06-30,Pizzeria,147485,147485,60160,60160,737427,91,315640,107,87325,87325,6317813,Large
18,2028 Q3,2028-09-30,Pizzeria,143582,146662,57828,57828,733312,92,304183,107,85754,88834,6317813,Large
19,2027 Q2,2027-06-30,Pizzeria,96039,111285,50327,50327,556424,91,251635,117,45712,60958,4447822,Medium
19,2027 Q3,2027-09-30,Pizzeria,90211,101589,44118,44118,507947,92,220590,107,46093,57471,4447822,Medium
19,2027 Q4,2027-12-31,Pizzeria,88206,118238,49995,49995,591192,92,249977,107,38211,68243,4447822,Medium
19,2028 Q1,2028-03-31,Pizzeria,92084,111752,48151,48151,558758,91,240754,109,43933,63601,4447822,Medium
19,2028 Q2,2028-06-30,Pizzeria,81488,92285,41220,41220,461426,91,206101,107,40268,51065,4447822,Medium
19,2028 Q3,2028-09-30,Pizzeria,73626,83571,37032,37032,417857,92,185161,107,36594,46539,4447822,Medium
20,2027 Q2,2027-06-30,Pizzeria,53867,53867,23841,23841,269336,91,119206,115,30026,30026,2374372,Small
20,2027 Q3,2027-09-30,Pizzeria,51709,51709,21725,21725,258544,92,108625,107,29984,29984,2374372,Small
20,2027 Q4,2027-12-31,Pizzeria,62909,62910,25648,25648,314548,92,128239,107,37261,37262,2374372,Small
20,2028 Q1,2028-03-31,Pizzeria,61379,61379,25382,25382,306894,91,126910,107,35997,35997,2374372,Small
20,2028 Q2,2028-06-30,Pizzeria,53613,53613,22625,22625,268065,91,113125,107,30988,30988,2374372,Small
20,2028 Q3,2028-09-30,Pizzeria,51114,51113,21062,21063,255567,92,105313,109,30052,30050,2374372,Small
21,2027 Q2,2027-06-30,Pizzeria,108801,110011,47783,47784,550055,91,250837,115,61018,62227,5011359,Medium
21,2027 Q3,2027-09-30,Pizzeria,104795,105961,43539,43539,529804,92,229035,109,61256,62422,5011359,Medium
21,2027 Q4,2027-12-31,Pizzeria,128646,130208,52472,52472,651038,92,273961,107,76174,77736,5011359,Medium
21,2028 Q1,2028-03-31,Pizzeria,128766,130198,53093,53093,650989,91,276980,107,75673,77105,5011359,Medium
21,2028 Q2,2028-06-30,Pizzeria,112568,114051,46983,46983,570255,91,246577,107,65585,67068,5011359,Medium
21,2028 Q3,2028-09-30,Pizzeria,108780,110101,43965,43965,550506,92,231322,107,64815,66136,5011359,Medium
22,2027 Q2,2027-06-30,Pizzeria,56652,65117,30344,30344,325584,91,151722,117,26308,34773,2978995,Small
22,2027 Q3,2027-09-30,Pizzeria,55594,62676,27680,27680,313382,92,138400,107,27914,34996,2978995,Small
22,2027 Q4,2027-12-31,Pizzeria,58555,76945,33191,33191,384727,92,165956,107,25364,43754,2978995,Small
22,2028 Q1,2028-03-31,Pizzeria,66779,76846,33480,33480,384228,91,167402,107,33299,43366,2978995,Small
22,2028 Q2,2028-06-30,Pizzeria,59687,67215,29702,29702,336077,91,148512,107,29985,37513,2978995,Small
22,2028 Q3,2028-09-30,Pizzeria,56998,64770,27831,27831,323850,92,139155,107,29167,36939,2978995,Small
23,2027 Q2,2027-06-30,Pizzeria,93905,93905,44899,44899,469523,91,224495,115,49006,49006,3383832,Medium
23,2027 Q3,2027-09-30,Pizzeria,89411,91050,41753,41753,455252,92,208764,107,47658,49297,3383832,Medium
23,2027 Q4,2027-12-31,Pizzeria,60016,61054,30408,30408,305269,92,152040,107,29608,30646,3383832,Medium
23,2028 Q1,2028-03-31,Pizzeria,62229,63241,32556,32556,316204,91,162779,107,29673,30685,3383832,Medium
23,2028 Q2,2028-06-30,Pizzeria,54345,55229,29551,29551,276146,91,147755,109,24794,25678,3383832,Medium
23,2028 Q3,2028-09-30,Pizzeria,90554,91747,41374,41374,458737,92,206868,107,49180,50373,3383832,Medium
24,2027 Q2,2027-06-30,Pizzeria,69943,106783,50131,50131,533916,91,250657,115,19812,56652,5081910,Medium
24,2027 Q3,2027-09-30,Pizzeria,64648,103936,46382,46382,519679,92,231910,111,18266,57554,5081910,Medium
24,2027 Q4,2027-12-31,Pizzeria,82849,129452,55784,55784,647261,92,278922,107,27065,73668,5081910,Medium
24,2028 Q1,2028-03-31,Pizzeria,84361,131609,57120,57120,658044,91,285601,107,27241,74489,5081910,Medium
24,2028 Q2,2028-06-30,Pizzeria,74647,117555,51864,51864,587776,91,259322,107,22783,65691,5081910,Medium
24,2028 Q3,2028-09-30,Pizzeria,74512,116062,49702,49702,580310,92,248512,109,24810,66360,5081910,Medium
25,2027 Q2,2027-06-30,Pizzeria,66445,90278,41674,41674,451390,91,215936,115,24771,48604,3785158,Medium
25,2027 Q3,2027-09-30,Pizzeria,61672,83341,37117,37117,416704,92,192486,107,24555,46224,3785158,Medium
25,2027 Q4,2027-12-31,Pizzeria,72560,98187,42403,42403,490937,92,218785,109,30157,55784,3785158,Medium
25,2028 Q1,2028-03-31,Pizzeria,68949,94065,41442,41442,470323,91,213647,107,27507,52623,3785158,Medium
25,2028 Q2,2028-06-30,Pizzeria,57571,78865,36049,36049,394325,91,186483,107,21522,42816,3785158,Medium
25,2028 Q3,2028-09-30,Pizzeria,53059,72684,32968,32968,363421,92,170721,107,20091,39716,3785158,Medium
26,2027 Q2,2027-06-30,Pizzeria,65379,70149,30416,30416,350743,91,158082,115,34963,39733,3334958,Medium
26,2027 Q3,2027-09-30,Pizzeria,64060,68294,28112,28112,341468,92,146332,107,35948,40182,3334958,Medium
26,2027 Q4,2027-12-31,Pizzeria,79343,85315,33871,33871,426576,92,175357,109,45472,51444,3334958,Medium
26,2028 Q1,2028-03-31,Pizzeria,81218,87331,34917,34917,436657,91,180688,107,46301,52414,3334958,Medium
26,2028 Q2,2028-06-30,Pizzeria,72922,78921,32005,32005,394603,91,166405,107,40917,46916,3334958,Medium
26,2028 Q3,2028-09-30,Pizzeria,73832,79304,30999,30999,396518,92,161529,107,42833,48305,3334958,Medium
27,2027 Q2,2027-06-30,Pizzeria,50186,57029,27508,27508,285147,91,137541,117,22678,29521,2928170,Small
27,2027 Q3,2027-09-30,Pizzeria,50827,56537,25839,25839,282684,92,129196,107,24988,30698,2928170,Small
27,2027 Q4,2027-12-31,Pizzeria,62781,72245,31725,31725,361223,92,158627,107,31056,40520,2928170,Small
27,2028 Q1,2028-03-31,Pizzeria,66344,75909,33436,33436,379544,91,167179,107,32908,42473,2928170,Small
27,2028 Q2,2028-06-30,Pizzeria,60729,70451,31403,31403,352253,91,157017,107,29326,39048,2928170,Small
27,2028 Q3,2028-09-30,Pizzeria,63765,72460,31092,31092,362301,92,155458,107,32673,41368,2928170,Small
28,2027 Q2,2027-06-30,Pizzeria,106668,195362,89794,89794,976812,91,448968,115,16874,105568,8982462,Large
28,2027 Q3,2027-09-30,Pizzeria,105174,188146,81895,81895,940729,92,409475,107,23279,106251,8982462,Large
28,2027 Q4,2027-12-31,Pizzeria,124647,231685,98266,98266,1158426,92,491331,107,26381,133419,8982462,Large
28,2028 Q1,2028-03-31,Pizzeria,128690,232712,99692,99692,1163561,91,498461,109,28998,133020,8982462,Large
28,2028 Q2,2028-06-30,Pizzeria,115357,205261,89301,89301,1026307,91,446507,107,26056,115960,8982462,Large
28,2028 Q3,2028-09-30,Pizzeria,108195,199991,84386,84386,999954,92,421931,107,23809,115605,8982462,Large
29,2027 Q2,2027-06-30,Pizzeria,33225,33595,15820,15820,167974,91,81783,115,17405,17775,2148227,Small
29,2027 Q3,2027-09-30,Pizzeria,38204,38204,16791,16791,191019,92,87041,107,21413,21413,2148227,Small
29,2027 Q4,2027-12-31,Pizzeria,47959,47959,19838,19838,239797,92,102379,107,28121,28121,2148227,Small
29,2028 Q1,2028-03-31,Pizzeria,83392,83392,31412,31412,416958,91,162522,107,51980,51980,2148227,Small
29,2028 Q2,2028-06-30,Pizzeria,52434,52434,21474,21474,262170,91,111425,107,30960,30960,2148227,Small
29,2028 Q3,2028-09-30,Pizzeria,45837,45837,18492,18492,229185,92,95974,107,27345,27345,2148227,Small
30,2027 Q2,2027-06-30,Pizzeria,91445,138135,62022,62022,690676,91,310111,115,29423,76113,6270221,Large
30,2027 Q3,2027-09-30,Pizzeria,82026,133159,56934,56934,665796,92,284669,107,25092,76225,6270221,Large
30,2027 Q4,2027-12-31,Pizzeria,82355,163727,67462,67462,818636,92,337309,107,14893,96265,6270221,Large
30,2028 Q1,2028-03-31,Pizzeria,111370,163780,68150,68150,818899,91,340749,107,43220,95630,6270221,Large
30,2028 Q2,2028-06-30,Pizzeria,101597,143498,61111,61111,717492,91,305554,107,40486,82387,6270221,Large
30,2028 Q3,2028-09-30,Pizzeria,87137,138532,57534,57534,692658,92,287672,109,29603,80998,6270221,Large
31,2027 Q2,2027-06-30,Pizzeria,48186,49019,24622,24622,245096,91,123111,115,23564,24397,2369286,Small
31,2027 Q3,2027-09-30,Pizzeria,47850,47850,22878,22878,239250,92,114391,107,24972,24972,2369286,Small
31,2027 Q4,2027-12-31,Pizzeria,58641,59534,27277,27277,297671,92,136385,109,31364,32257,2369286,Small
31,2028 Q1,2028-03-31,Pizzeria,59213,60237,27812,27812,301186,91,139061,107,31401,32425,2369286,Small
31,2028 Q2,2028-06-30,Pizzeria,52780,53367,25204,25204,266837,91,126020,107,27576,28163,2369286,Small
31,2028 Q3,2028-09-30,Pizzeria,51369,52098,23957,23957,260492,92,119786,107,27412,28141,2369286,Small
