CompanyId,VATPeriod,VATDate,Sector,OutputVAT,ExpectedOutputVAT,InputVAT,ExpectedInputVAT,TotalSales,CountSellerInvoices,TotalPurchases,CountBuyerInvoices,ReportedVATLiability,ExpectedVATLiability,Size,SizeCategory
2,2027 Q2,2027-06-30,Pizzeria,70061.0,70061.0,28994,28994,350304.0,91.0,144968,115,41067.0,41067.0,495272.0,Small
2,2027 Q3,2027-09-30,Pizzeria,67903.0,68797.0,27493,27493,343985.0,92.0,137466,107,40410.0,41304.0,481451.0,Small
2,2027 Q4,2027-12-31,Pizzeria,89029.0,90019.0,33654,33654,450093.0,92.0,168271,107,55375.0,56365.0,618364.0,Small
2,2028 Q1,2028-03-31,Pizzeria,99709.0,99709.0,36536,36536,498544.0,91.0,182681,107,63173.0,63173.0,681225.0,Small
2,2028 Q2,2028-06-30,Pizzeria,69024.0,70075.0,27826,27826,350377.0,91.0,139131,107,41198.0,42249.0,489508.0,Small
2,2028 Q3,2028-09-30,Pizzeria,59781.0,59781.0,23648,23648,298906.0,92.0,118241,107,36133.0,36133.0,417147.0,Small
3,2027 Q2,2027-06-30,Pizzeria,44752.0,66201.0,27210,27210,331006.0,91.0,137233,115,17542.0,38991.0,468239.0,Small
3,2027 Q3,2027-09-30,Pizzeria,40065.0,63900.0,25014,25014,319500.0,92.0,126201,107,15051.0,38886.0,445701.0,Small
3,2027 Q4,2027-12-31,Pizzeria,40135.0,79005.0,29747,29747,395024.0,92.0,149896,107,10388.0,49258.0,544920.0,Small
3,2028 Q1,2028-03-31,Pizzeria,52486.0,79888.0,30320,30320,399441.0,91.0,152768,109,22166.0,49568.0,552209.0,Small
3,2028 Q2,2028-06-30,Pizzeria,47419.0,71199.0,27602,27602,355993.0,91.0,139217,109,19817.0,43597.0,495210.0,Small
3,2028 Q3,2028-09-30,Pizzeria,46778.0,70449.0,26487,26487,352246.0,92.0,133652,107,20291.0,43962.0,485898.0,Small
4,2027 Q2,2027-06-30,Pizzeria,48887.0,48887.0,22747,22747,244435.0,91.0,113735,115,26140.0,26140.0,358170.0,Small
4,2027 Q3,2027-09-30,Pizzeria,45652.0,45652.0,20422,20422,228262.0,92.0,102111,107,25230.0,25230.0,330373.0,Small
4,2027 Q4,2027-12-31,Pizzeria,54425.0,54425.0,23423,23423,272124.0,92.0,117116,107,31002.0,31002.0,389240.0,Small
4,2028 Q1,2028-03-31,Pizzeria,52793.0,52793.0,23094,23094,263964.0,91.0,115471,109,29699.0,29699.0,379435.0,Small
