CompanyId,VATPeriod,VATDate,Sector,OutputVAT,ExpectedOutputVAT,InputVAT,ExpectedInputVAT,TotalSales,CountSellerInvoices,TotalPurchases,CountBuyerInvoices,ReportedVATLiability,ExpectedVATLiability,Size,SizeCategory
2066,2022 Q4,2022-12-31,Importer,0,0,0,0,9334,3,0,0,0,0,58916870,Large
2066,2023 Q1,2023-03-31,Importer,118913,0,0,0,5560285,376,0,0,118913,0,58916870,Large
2066,2023 Q2,2023-06-30,Importer,119000,0,0,0,4695106,349,0,0,119000,0,58916870,Large
2066,2023 Q3,2023-09-30,Importer,118973,0,0,0,4540705,347,0,0,118973,0,58916870,Large
2066,2023 Q4,2023-12-31,Importer,125527,0,0,0,5670937,348,0,0,125527,0,58916870,Large
2066,2024 Q1,2024-03-31,Importer,126977,0,0,0,5824793,348,0,0,126977,0,58916870,Large
2066,2024 Q2,2024-06-30,Importer,129363,0,0,0,4924959,349,0,0,129363,0,58916870,Large
2066,2024 Q3,2024-09-30,Importer,127041,0,0,0,4744103,348,0,0,127041,0,58916870,Large
2066,2024 Q4,2024-12-31,Importer,146392,0,0,0,6679857,374,0,0,146392,0,58916870,Large
2066,2025 Q1,2025-03-31,Importer,124614,0,0,0,5734707,321,0,0,124614,0,58916870,Large
2066,2025 Q2,2025-06-30,Importer,141842,0,0,0,5405633,351,0,0,141842,0,58916870,Large
2066,2025 Q3,2025-09-30,Importer,138006,0,0,0,5126451,377,0,0,138006,0,58916870,Large
2032,2022 Q4,2022-12-31,Importer,0,0,0,0,33658,3,0,0,0,0,6776060,Small
2032,2023 Q1,2023-03-31,Importer,66918,0,0,0,529013,104,0,0,66918,0,6776060,Small
2032,2023 Q2,2023-06-30,Importer,65347,0,0,0,596062,101,0,0,65347,0,6776060,Small
2032,2023 Q3,2023-09-30,Importer,64829,0,0,0,511536,99,0,0,64829,0,6776060,Small
2032,2023 Q4,2023-12-31,Importer,71861,0,0,0,586880,98,0,0,71861,0,6776060,Small
2032,2024 Q1,2024-03-31,Importer,75221,0,0,0,589005,101,0,0,75221,0,6776060,Small
2032,2024 Q2,2024-06-30,Importer,72046,0,0,0,616697,98,0,0,72046,0,6776060,Small
2032,2024 Q3,2024-09-30,Importer,74299,0,0,0,580935,99,0,0,74299,0,6776060,Small
2032,2024 Q4,2024-12-31,Importer,91876,0,0,0,738356,106,0,0,91876,0,6776060,Small
2032,2025 Q1,2025-03-31,Importer,80693,0,0,0,626720,90,0,0,80693,0,6776060,Small
2032,2025 Q2,2025-06-30,Importer,94119,0,0,0,675401,100,0,0,94119,0,6776060,Small
2032,2025 Q3,2025-09-30,Importer,94833,0,0,0,691797,109,0,0,94833,0,6776060,Small
2025,2022 Q4,2022-12-31,Importer,0,0,0,0,9791,3,0,0,0,0,2441117,Small
2025,2023 Q1,2023-03-31,Importer,14994,0,0,0,220603,137,0,0,14994,0,2441117,Small
2025,2023 Q2,2023-06-30,Importer,13112,0,0,0,211482,128,0,0,13112,0,2441117,Small
2025,2023 Q3,2023-09-30,Importer,13920,0,0,0,211116,127,0,0,13920,0,2441117,Small
2025,2023 Q4,2023-12-31,Importer,14873,0,0,0,233212,130,0,0,14873,0,2441117,Small
2025,2024 Q1,2024-03-31,Importer,14040,0,0,0,203112,126,0,0,14040,0,2441117,Small
2025,2024 Q2,2024-06-30,Importer,13489,0,0,0,230539,128,0,0,13489,0,2441117,Small
2025,2024 Q3,2024-09-30,Importer,13546,0,0,0,225116,130,0,0,13546,0,2441117,Small
2025,2024 Q4,2024-12-31,Importer,14981,0,0,0,240317,136,0,0,14981,0,2441117,Small
2025,2025 Q1,2025-03-31,Importer,12889,0,0,0,216439,117,0,0,12889,0,2441117,Small
2025,2025 Q2,2025-06-30,Importer,14739,0,0,0,216211,129,0,0,14739,0,2441117,Small
2025,2025 Q3,2025-09-30,Importer,14394,0,0,0,223179,138,0,0,14394,0,2441117,Small
2061,2022 Q4,2022-12-31,Importer,0,0,0,0,4077,3,0,0,0,0,14317202,Small
2061,2023 Q1,2023-03-31,Importer,178046,0,0,0,1267575,358,0,0,178046,0,14317202,Small
2061,2023 Q2,2023-06-30,Importer,169004,0,0,0,1189530,334,0,0,169004,0,14317202,Small
2061,2023 Q3,2023-09-30,Importer,179786,0,0,0,1234689,333,0,0,179786,0,14317202,Small
2061,2023 Q4,2023-12-31,Importer,198352,0,0,0,1351254,332,0,0,198352,0,14317202,Small
2061,2024 Q1,2024-03-31,Importer,179814,0,0,0,1245925,333,0,0,179814,0,14317202,Small
2061,2024 Q2,2024-06-30,Importer,181849,0,0,0,1253892,331,0,0,181849,0,14317202,Small
2061,2024 Q3,2024-09-30,Importer,187702,0,0,0,1300689,335,0,0,187702,0,14317202,Small
